Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page
h*****a,5,2021-10-26 10:34,,"Hàng giao đúng như trong mô tả, đóng gói đẹp, chất lượng. Hình ảnh mang tính minh họa.",N/A,0,1
ngocshina,5,2022-04-26 16:29,,Chưa dùng nên chưa biết hiệu quả. Giao hàng nhanh. Đóng gói tương đối kỹ. Hàng còn nguyên vẹn ko đổ bể.,N/A,0,1
t*****9,5,2022-02-16 21:19,,"Sản phẩm giao hàng rất nhanh, chất lượng tốt cảm ơn shop, lần sau sẽ ủng hộ tiếp",N/A,0,1
hong_minh79,5,2023-02-14 22:21,,"Công dụng: giải rượu
Mình đã mua lần 2. Uống rượu hôm trước dùng sản phẩm hôm sau rất tỉnh táo, thoải mái. Mọi người nên dùng. Đóng gói chắc chắn nhưng ko thoải mái khi shop đóng gói bằng hộp nước giặt. Mở hộp toàn mùi nước giặt thực sự rất khó chịu. Mong shop sẽ ko làm như vậy lần sau.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1
trangtranggggg144,5,2021-10-22 09:32,,"Hàng ok, đóng gói cẩm thận k bị vỡ. Chất lượng thì chưa sd nên chưa biết Hàng ok, đóng gói cẩm thận k bị vỡ. Chất lượng thì chưa sd nên chưa biết bikskakaakajaj jsjak haja jiaai kaiak kaiao oieie kéoks nanqbna kakakak hdbdbfb snja íis kqkq kdjdj bdbxbo nsjaj ưiuw dbbd owi đựu ksksksk ksksk kskskksvd",N/A,0,1
thanhluan8688,5,2022-05-04 20:22,,"Đã mua lần 2, công dụng giải rượu rất tốt
Sẽ tiếp tục ủng hộ shop , mong shop sẽ giảm giá nhiều hơn nữa",N/A,0,1
getcaimat,5,2023-04-03 20:17,,"Đối tượng sử dụng: người lớn
Công dụng: giải rượu
Nên mua e này nha, tốt cực ý, rượu bia là phải có e nó, ox mình chỉ sài loại này, vừa giải rượu vừa bv dạ dày",N/A,0,2
anhtuyet91_khoai.tay,5,2023-03-21 14:08,,"Đối tượng sử dụng: loc gan
Công dụng: giảm say nguội hiệu quả
Mua uống thấy hiệu quả nên quyết định mua tiếp để sử dụng. Mua trúng đợt KM 13 chai mà tính ra chưa tới 20k/chai, nay mua gần 32k/chai. sót ghê 😹","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2
h*****3,5,2023-03-13 10:08,,"Giao hàng thần tốc. Đặt t7, sáng t2 đã nhận được rồi. Date tháng 12/2024. Ảnh mang tc minh hoạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2
vothihonglyntpt,5,2023-02-28 12:58,,Cái hộp đựng trang sức nó xinh xỉu luôn ak. Màu hường phấn mới chịu. Đợt này cảm thấy giá hời,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2
t*****1,5,2023-02-23 08:55,,Mua đc tặng cái hộp cũng đẹp nói chung ok! Nhận xu nên ko chụp nhiều!,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2
